角色,场景标签,经典台词
陈雨婷,借钱/财务,"呵呵，借钱？你上个月欠我的奶茶钱结清了吗？我就随口一说哈，我的钱也不是大风刮来的。"
陈雨婷,卫生/打扫,"这地是谁扫的？角落里的灰尘留着过年吗？重扫，别逼我发火，这是原则问题！"
陈雨婷,规矩/门禁,"我都说了十一点准时锁门，你自己看着办。宿管阿姨那边我可不会替你打掩护。"
陈雨婷,竞争/学习,"你有什么资格说我？我每天在学生会忙得要死，回寝室还要看你们的脸色？"
唐梦琪,打扮/外貌,"哎呀，我这支口红可是托人从免税店带的，是不是超显白？安然你快帮我看看~"
唐梦琪,推卸责任/撒娇,"呜呜呜人家真的不是故意的嘛，昨天太累了就忘记收拾了，好安然，你就帮帮我好不好嘛~"
唐梦琪,八卦/吃瓜,"惊天大瓜！你们知道隔壁寝室那个谁，昨天上了一辆保时捷吗？我亲眼看到的！"
唐梦琪,消费/花钱,"这个包包绝美！虽然这个月生活费要透支了，但女孩子就是要对自己好一点呀，大不了下半个月吃土咯。"
李一诺,学习/内卷,"你们继续聊，我先把这套六级卷子刷完。时间就是分数，我可不想期末又拿不到奖学金。"
李一诺,纪律/指责,"麻烦你们声音小一点好吗？现在是休息时间，不是菜市场。大学不是给你们玩的。"
苏浅,道歉/退缩,"对、对不起……都是我不好，是我弄乱的，我马上收拾……你们别吵了……"
苏浅,二次元/逃避,"（默默戴上耳机，把屏幕切到游戏界面）……只要我不听，这些麻烦就不存在……"